term,beta,se,z_stat,p,affect,aic,model,p_fdr,sig
p_threat_z,0.5750973847449542,0.024199192197073574,23.765148028970206,7.661684661812909e-125,anxiety,21595.53595871759,main_effects,1.7877264210896787e-124,True
dist_safety_z,0.2259654407418865,0.02393099964591375,9.442373661163392,3.64428576673599e-21,anxiety,21595.53595871759,main_effects,5.1020000734303856e-21,True
S_probe_z,-0.601967724907288,0.024563622433124516,-24.50647198092098,1.2601880854175965e-132,anxiety,21645.75443162075,S_probe,8.821316597923176e-132,True
p_threat_z,0.5750953560617666,0.02419227654965524,23.77185772001942,6.530420103372366e-125,anxiety,21595.359563010366,moderation,1.7877264210896787e-124,True
z_z,-0.08781840712037067,0.07608425580739998,-1.1542257486578376,0.2484076287740582,anxiety,21595.359563010366,moderation,0.2675159079105242,False
p_threat_z:z_z,-0.040830948780473185,0.02419424233131051,-1.6876308098986261,0.09148212110675427,anxiety,21595.359563010366,moderation,0.10672914129121332,False
dist_safety_z,0.226047530836897,0.023924380994783456,9.448417114164211,3.439930830400525e-21,anxiety,21595.359563010366,moderation,5.1020000734303856e-21,True
p_threat_z,-0.585601221136451,0.02441410708753038,-23.986182211658665,3.8761343888118435e-127,confidence,21688.232738528903,main_effects,1.3566470360841453e-126,True
dist_safety_z,-0.28341216286259535,0.02472933490332906,-11.460565517451197,2.081512052456543e-30,confidence,21688.232738528903,main_effects,3.64264609179895e-30,True
S_probe_z,0.6318673823327653,0.024758362226244217,25.521372397685372,1.1418008782627837e-143,confidence,21722.90385901591,S_probe,1.5985212295678972e-142,True
p_threat_z,-0.5856054947438031,0.024413153756926754,-23.987293922549807,3.773963820306893e-127,confidence,21685.339061168685,moderation,1.3566470360841453e-126,True
z_z,-0.19860928186566637,0.07758714578054991,-2.559821989423603,0.010472579090880653,confidence,21685.339061168685,moderation,0.013328737024757195,True
p_threat_z:z_z,0.01568691943339168,0.024405912170507887,0.6427507943074449,0.5203858160738632,confidence,21685.339061168685,moderation,0.5203858160738632,False
dist_safety_z,-0.2834414946209475,0.02472836792515146,-11.462199829720927,2.042598147685172e-30,confidence,21685.339061168685,moderation,3.64264609179895e-30,True
