predictor,outcome,r,p,domain
calibration,choice_quality,0.006178095105265142,0.9167142939627743,performance
calibration,survival_rate,0.18324599406710768,0.0017587370759675426,performance
discrepancy,choice_quality,-0.08404918263560439,0.15410906150510786,performance
discrepancy,survival_rate,-0.15312396789260732,0.009128095535869782,performance
calibration,OASIS_Total,0.013817976692208515,0.8150636099501751,clinical
calibration,STAI_State,0.13493319717973598,0.021766059800669445,clinical
calibration,STICSA_Total,0.07464410420861292,0.2057938992816441,clinical
calibration,PHQ9_Total,0.012210050196798015,0.8362605833686083,clinical
calibration,DASS21_Anxiety,0.01920682098715038,0.7450820277935585,clinical
calibration,DASS21_Stress,0.07261373591252165,0.218431763794936,clinical
calibration,DASS21_Depression,0.06445684970363681,0.27476559160216185,clinical
calibration,STAI_Trait,-0.07494298324088279,0.20477029833442895,clinical
discrepancy,OASIS_Total,0.17558081075606569,0.002742287362858681,clinical
discrepancy,STAI_State,0.30769952725204275,9.382541869399326e-08,clinical
discrepancy,STICSA_Total,0.24891387073326143,1.862535709803102e-05,clinical
discrepancy,PHQ9_Total,0.20009399134800196,0.000622717168515517,clinical
discrepancy,DASS21_Anxiety,0.23301535388368255,6.353511007436711e-05,clinical
discrepancy,DASS21_Stress,0.21660723963545944,0.0002068411357207068,clinical
discrepancy,DASS21_Depression,0.2048821173977446,0.0004563392226113604,clinical
discrepancy,STAI_Trait,-0.20182524700335713,0.0005695444776473388,clinical
calibration,discrepancy,-0.018121682136347825,0.7590270816933342,orthogonality
