parameter,mean,std,rhat,ess
mu_ce,0.13973858482151086,0.6849563054159853,15.292652239239006,2.9110218744484557
mu_cd,2.430762308737687,0.849563988572313,4.137470441838857,3.1296287273901284
sigma_ce,0.37065042461708925,0.36387829450221365,15.360683143107567,2.900346002682267
sigma_cd,3.457660211851206,1.7391402652458097,34.40324798657927,2.865902826314769
eps_raw,-3.0081426120026435,0.8520509957234135,2.9924107149398504,3.2400169111488686
gamma_raw,-0.04145450392911016,1.5244697116726476,38.97306052869737,2.8619923892829116
tau_raw,-0.06306064634484891,0.6769023429742568,21.576515587532306,2.871632079972804
p_esc_raw,-2.029602420702122,2.348069959645755,7.8781415842025115,2.8858443630752917
sigma_v,0.2685809574611738,0.0391025524779592,64.88778080236239,2.855392945637319
sigma_motor_raw,-2.7633155060384813,2.9684629112037895,23.090031730693475,2.878695411379037
ce_vigor_raw,-6.636585234094209,0.7449412062474311,3.3848442540284083,3.1741692953447562
ce_raw (median across subjects),0.050077585921029934,0.5767797226215676,3.0144845849622963,3.3264863256187414
cd_raw (median across subjects),0.09002674024019194,0.45721296115843624,3.3524401870156963,3.255128087245463
