parameter,mean,hdi_3%,hdi_97%
epsilon,0.0715455415140218,0.022444582879283227,0.2212006272410364
gamma,1.6047281695749651,0.18929228812957058,3.0
tau,1.16197333693575,0.4419139165477165,1.8457280007841288
p_esc,0.2935338515708334,0.0063064175717256294,0.5728453794383338
sigma_motor,0.5044972189146278,0.01,1.0
ce_vigor,0.0017260723746732017,0.0006500850685100578,0.004161677944968435
sigma_v,0.2685809574611738,0.22776905133206538,0.30767737854296384
mu_ce,0.13973858482151086,-0.6542913730433882,0.8227289683571978
mu_cd,2.430762308737687,1.6146145880708866,3.814027816271928
sigma_ce,0.37065042461708925,0.007797604904985437,0.8004437249411325
sigma_cd,3.457660211851206,1.615433847706474,5.195826901802416
