factor,predictor,beta,se,t,p,r2_model,r2adj,f_model,f_p,n,p_fdr,sig_fdr,model
F1,k_z,-0.03986010211634273,0.06377927442076783,-0.624969513660122,0.5324876305631917,0.020265812047083998,0.010024688131199944,1.9788660125136655,0.11727813449552744,291,0.6846269535812465,False,3param
F1,beta_z,-0.05545620261841057,0.06489243066407115,-0.8545866143540048,0.39349282352896653,0.020265812047083998,0.010024688131199944,1.9788660125136655,0.11727813449552744,291,0.6846269535812465,False,3param
F1,alpha_z,-0.13177691501864086,0.06435809837997793,-2.0475576242264673,0.04151350917583556,0.020265812047083998,0.010024688131199944,1.9788660125136655,0.11727813449552744,291,0.18681079129126002,False,3param
F2,k_z,0.08181743694709408,0.06796282116999398,1.2038558073162653,0.22963728138868603,0.007618120905422021,-0.0027552088412110542,0.7343949427515887,0.5322267344362601,291,0.5166838831245436,False,3param
F2,beta_z,-0.033239960362669685,0.06914899394139902,-0.4807005636385572,0.6310955563009442,0.007618120905422021,-0.0027552088412110542,0.7343949427515887,0.5322267344362601,291,0.7099825008385622,False,3param
F2,alpha_z,0.049802571254337125,0.06857961258987087,0.7262008251952842,0.4683074820110077,0.007618120905422021,-0.0027552088412110542,0.7343949427515887,0.5322267344362601,291,0.6846269535812465,False,3param
F3,k_z,-0.10793530616157865,0.07095556775010547,-1.5211675360235308,0.12931875340247784,0.1225540122529144,0.11338210297332818,13.361886660357671,3.456925544188685e-08,291,0.3879562602074335,False,3param
F3,beta_z,0.004288716181161568,0.07219397370494715,0.05940545950122261,0.9526705072786232,0.1225540122529144,0.11338210297332818,13.361886660357671,3.456925544188685e-08,291,0.9526705072786232,False,3param
F3,alpha_z,-0.4377666454816947,0.07159951961418849,-6.114100315764476,3.1646256422960913e-09,0.1225540122529144,0.11338210297332818,13.361886660357671,3.456925544188685e-08,291,2.8481630780664823e-08,True,3param
F1,k_z,-0.038132387428912125,0.06354502092799565,-0.6000845836862786,0.5489250297004064,0.031062962128428295,0.017511395165189514,2.2922044522742326,0.05970676062651993,291,0.8233875445506096,False,4param
F1,beta_z,-0.06455167231709319,0.06484704732870081,-0.9954450507189572,0.3203613115779586,0.031062962128428295,0.017511395165189514,2.2922044522742326,0.05970676062651993,291,0.6407226231559172,False,4param
F1,alpha_z,-0.12775014497912382,0.06415394755343455,-1.991306066906004,0.047398344799537626,0.031062962128428295,0.017511395165189514,2.2922044522742326,0.05970676062651993,291,0.2843900687972258,False,4param
F1,rho_z,-0.11271408344389004,0.06313764469618063,-1.785212039287687,0.07528658210778652,0.031062962128428295,0.017511395165189514,2.2922044522742326,0.05970676062651993,291,0.3011463284311461,False,4param
F2,k_z,0.0818237921234688,0.06808942639822696,1.2017106980005265,0.23046976061765576,0.007618251224265737,-0.006261213793576692,0.5488865179221459,0.6999830717124006,291,0.5531274254823738,False,4param
F2,beta_z,-0.033273416878706066,0.06948456687476907,-0.47886053515558663,0.6324037451212419,0.007618251224265737,-0.006261213793576692,0.5488865179221459,0.6999830717124006,291,0.8354144186297842,False,4param
F2,alpha_z,0.04981738321027401,0.06874190025124094,0.7247018634660846,0.469227410186733,0.007618251224265737,-0.006261213793576692,0.5488865179221459,0.6999830717124006,291,0.8043898460343993,False,4param
F2,rho_z,-0.00041460426621123725,0.06765291676226373,-0.0061284019382073455,0.9951145457858922,0.007618251224265737,-0.006261213793576692,0.5488865179221459,0.6999830717124006,291,0.9951145457858922,False,4param
F3,k_z,-0.10751222825206071,0.07106877226498298,-1.5127914107084435,0.13143686644703836,0.12302250633165057,0.11075708683978558,10.03002843997668,1.3082154505106605e-07,291,0.3943105993411151,False,4param
F3,beta_z,0.002061443163111258,0.07252495901893122,0.028423913518836445,0.9773438752696765,0.12302250633165057,0.11075708683978558,10.03002843997668,1.3082154505106605e-07,291,0.9951145457858922,False,4param
F3,alpha_z,-0.4367805813688971,0.07174979600275841,-6.08755154303303,3.679610881767956e-09,0.12302250633165057,0.11075708683978558,10.03002843997668,1.3082154505106605e-07,291,4.415533058121547e-08,True,4param
F3,rho_z,-0.027601107488183993,0.07061316255359687,-0.3908776563751011,0.6961786821914868,0.12302250633165057,0.11075708683978558,10.03002843997668,1.3082154505106605e-07,291,0.8354144186297842,False,4param
